Customer|Name|Revision|Configurable|Name|Number|Revision|Description|Manufacturer|Name|Number|Revision|Description|ConfigurationOption|ConsolidatedReferences|CustomerPartNumber|Name|Value|Description|InternalPartNumber|IsSubAssembly|ItemNumber|Manufacturer|OptionCode|Package|PartLabel|PartRevision|PartType|Polarized|Quantity|Reference|RevisionMode|Socket|UnitOfIssue|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||ALERT RESPONSE STATUS|ALERTS|no|1||||||Electronic||0||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST||||||||STN-117167-REV3_1-TOP-REI|||STENCIL,FOR ASSY 117167-REV1-REI|STN-117167-REV3_1-TOP-REI|no|2|||||3_1|Electronic||0||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||DWG,ASSY 117167,POWER LINE MODEM|IREI-10-025-DWG|no|3|||||1|Generic||0||UseSpecific||REF|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||SCH,REI,POWER LINE MODEM|402-482-001-SCH-REI|no|4|||||2|Generic||0||UseSpecific||REF|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||TP,Reinke 117167 GPS End of System Board|TST-7692|no|5|||||0|Generic||0||UseSpecific||REF|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||BOM,GPS EOS ROBUST|117167-BOM-REI|no|6|||||2_1|Generic||0||UseSpecific||REF|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||PURCHASE PART SPEC,GPS EOS ROBUST|117167-PPS-REI|no|7|||||3_1|Generic||0||UseSpecific||REF|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||PCB,POWER LINE MODEM|117167-REV3_1-REI|no|8|||||3_1|Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||RES,0R00,1/20W,1%,+/-100PPM,THKF,0402|CRCW04020000Z0ED|no|9||||||Electronic||6||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||RES,0R00,1/20W,1%,+/-100PPM,THKF,0402|CRCW04020000Z0ED|no|9||||||Electronic||6||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||RES,0R00,1/20W,1%,+/-100PPM,THKF,0402|CRCW04020000Z0ED|no|9||||||Electronic||6||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||RES,0R00,1/20W,1%,+/-100PPM,THKF,0402|CRCW04020000Z0ED|no|9||||||Electronic||6||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||RES,0R00,1/20W,1%,+/-100PPM,THKF,0402|CRCW04020000Z0ED|no|9||||||Electronic||6||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|||||||||||RES,0R00,1/20W,1%,+/-100PPM,THKF,0402|CRCW04020000Z0ED|no|9||||||Electronic||6||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|71-CRCW0402-1.0K-E3|71-CRCW0402-1.0K-E3||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,1K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW04021K00FKED|no|10|Vishay|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|71-CRCW0402-1.0K-E3|71-CRCW0402-1.0K-E3||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,1K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW04021K00FKED|no|10|Vishay|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|71-CRCW0402-1.0K-E3|71-CRCW0402-1.0K-E3||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,1K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW04021K00FKED|no|10|Vishay|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|71-CRCW0402-1.0K-E3|71-CRCW0402-1.0K-E3||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,1K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW04021K00FKED|no|10|Vishay|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,1K21,1/16W,1%,+/-100PPM,0402,SMD|CRCW04021K21FKED|no|11|Vishay|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,1K21,1/16W,1%,+/-100PPM,0402,SMD|CRCW04021K21FKED|no|11|Vishay|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,1K27,1/16W,1%,+/-100PPM,THKF,0402|CRCW04021K27FKED|no|12|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||SMT 0402 1/16 1.5K 1%|CRCW04021K50FKED|no|13|Vishay|||||Electronic||3||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||SMT 0402 1/16 1.5K 1%|CRCW04021K50FKED|no|13|Vishay|||||Electronic||3||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||SMT 0402 1/16 1.5K 1%|CRCW04021K50FKED|no|13|Vishay|||||Electronic||3||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,100R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402100RFKED|no|14|Vishay|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,100R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402100RFKED|no|14|Vishay|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,100K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402100KFKED|no|15|Vishay|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,100K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402100KFKED|no|15|Vishay|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|CRCW040210K0FKEE|CRCW040210K0FKEE||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,10K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040210K0FKED|no|16|Vishay|||||Electronic||58||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,113R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402113RFKED|no|17|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,120K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402120KFKED|no|18|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,174K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402174KFKED|no|19|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,2K10,1/16W,1%,+/-100PPM,THKF,0402|CRCW04022K10FKED|no|20|Vishay|||||Electronic||10||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,2K10,1/16W,1%,+/-100PPM,THKF,0402|CRCW04022K10FKED|no|20|Vishay|||||Electronic||10||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,2K10,1/16W,1%,+/-100PPM,THKF,0402|CRCW04022K10FKED|no|20|Vishay|||||Electronic||10||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,2K87,1/16W,1%,+/-100PPM,THKF,0402|CRCW04022K87FKED|no|21|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,220K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402220KFKED|no|22|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|Vishay||||||||||RES,22K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040222K0FKED|no|23|Vishay|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no|RK73H1ETTP3401F|RK73H1ETTP3401F||PCBA,GPS EOS ROBUST|KOA||||||||||RES,3K40,1/16W,1%,+/-100PPM,THKF,0402|CRCW04023K40FKED|no|24|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,33K2,1/16W,1%,+/-100PPM,THKF,0402|CRCW040233K2FKED|no|25|KOA|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,33K2,1/16W,1%,+/-100PPM,THKF,0402|CRCW040233K2FKED|no|25|KOA|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,33K2,1/16W,1%,+/-100PPM,THKF,0402|CRCW040233K2FKED|no|25|KOA|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,33K2,1/16W,1%,+/-100PPM,THKF,0402|CRCW040233K2FKED|no|25|KOA|||||Electronic||4||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,340K,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402340KFKED|no|26|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,4K87,1/16W,1%,+/-100PPM,THKF,0402|CRCW04024K87FKED|no|27|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,47K0,1/16W,1%,+/-100PPM,THKF,0402|CRCW040247K0FKED|no|28|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,511R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402511RFKED|no|29|KOA|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,511R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402511RFKED|no|29|KOA|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA|||||||CRCW040253K6FKED|||RES,53K6,1/16W,1%,+/-100PPM,0402,SMD|CRCW040253K6FKED|no|30|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,590R,1/16W,1%,+/-100PPM,THKF,0402|CRCW0402590RFKED|no|31|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||RES,6K19,1/16W,1%,+/-100PPM,THKF,0402|CRCW04026K19FKED|no|32|KOA|||||Electronic||1||UseSpecific||EA|
